rule_id,kind,file,line,label_or_value,born_by,date,receipt,revert_if,note
constant:conviction:pattern_rungs,constant,src/racing_edge/selection/conviction.py,33,"((""group 1"",1),(""group 2"",2),(""group 3"",3),(""listed"",4))",taught,2026-09-05,"conviction.py:21-31 the master 2026-09-05 'I picked a story over the best form line... yes do inversion, we need to learn and improve'; rulings.csv:26",,"one rung per level, lower is better"
constant:conviction:class_n_plus_4,constant,src/racing_edge/selection/conviction.py,49,n + 4 if 1 <= n <= 7,taught,2026-09-05,conviction.py:38-40 the same inversion word; his 2026-08-22 law 'class horse form is temp class is permanent' (morningread.py:143),,Class 1 non-pattern = 5 ... Class 7 = 11
constant:conviction:NO_CLASS_LINE,constant,src/racing_edge/selection/conviction.py,34,99,UNRECEIPTED,,no quote and no record for ranking 'unclassed' BELOW Class 7 — the sentinel's ordering is the apprentice's choice (cf. the same choice at nap.py:219),,"sentinel; the ladder itself is taught, this ordering is not"
term:best_form_line:won_or_placed,term,src/racing_edge/selection/conviction.py,65,h.position is None or h.position > 3 (win or first three counts),taught,2026-09-05,conviction.py:27-29 'the best form line is the highest rung at which the horse WON or PLACED (first three) inside the mark's own STALE window'; rulings.csv:26,REVERT-IF at nap.py:210 — 15 settled picks,
term:best_form_line:win_beats_place,term,src/racing_edge/selection/conviction.py,68,"key = (lvl, 0 if h.position == 1 else 1, i)",taught,2026-09-05,"conviction.py:29-30 'a win outranks a place on the same rung'; the master's inversion word, rulings.csv:26",,recency breaks the remaining tie
threshold:best_form_line:window_STALE_RUNS,threshold,src/racing_edge/selection/conviction.py,64,hist[:STALE_RUNS] (10 same-code runs),field-tested,2026-07-25,"mark.py:16-18 'the one window the record has receipted' — the Woodstock stale window, reused so the class line coins no threshold of its own",,no new number: the class line borrows the mark's window
constant:conviction:_FAMILIES,constant,src/racing_edge/selection/conviction.py,83,"7 families: mark, manner, momentum, course, trip, market, intent",field-tested,2026-07-12,conviction.py:77-82 regression audit: an in-form favourite from a hot yard could stack 8+ correlated labels and outrank the profile that actually won,,the collapse of correlated labels is receipted; the 7-way partition itself is the apprentice's carve
threshold:conviction:confident_score>=3,threshold,src/racing_edge/selection/conviction.py,124,self.score >= 3,field-tested,,"conviction.py:78-79 'the winning-era engine had ~6 orthogonal lenses, so score>=3 meant half the jigsaw agreed' — an era named, no race count given",,"the weakest field-test receipt in this register: an era, not a number"
gate:conviction:confident_needs_mark_known,gate,src/racing_edge/selection/conviction.py,124,and self.mark_known,taught,2026-07-26,"morningread.py:463 rule 6 'with the mark as ONE piece and a VETO only: never back a horse wrong at the weights' (the master, 2026-07-26)",,
gate:conviction:confident_needs_no_flags,gate,src/racing_edge/selection/conviction.py,125,not self.flags,taught,,"morningread.py:129 rule #25 'ELIMINATE: cross off what can't win on FACTS, then beat the survivors against each other'",,"RULE_AUDIT.md:59-66 names the consequence: every flag erases, and weak flags erase as hard as strong ones — awaiting his word"
